cppcheck,2.4.1 1,https://git.sr.ht/~gullik/ksrepo,cppcheck,
ttf-droid-sans,20121017 1,https://git.sr.ht/~gullik/ksrepo,ttf-droid-sans,
browser,29.2.1 1,https://git.sr.ht/~gullik/ksrepo,browser,
fluidsynth,2.2.2 1,https://git.sr.ht/~gullik/ksrepo,fluidsynth,
ttf-fantasque-sans-mono,1.8.0 1,https://git.sr.ht/~gullik/ksrepo,ttf-fantasque-sans-mono,
glew,2.2.0 1,https://git.sr.ht/~gullik/ksrepo,glew,
gwm,0.1.2 1,https://git.sr.ht/~gullik/ksrepo,gwm,
git-crypt,0.6.0 1,https://git.sr.ht/~gullik/ksrepo,git-crypt,
glfw,3.3.4 1,https://git.sr.ht/~gullik/ksrepo,glfw,
xf86-input-wacom,0.40.0 1,https://git.sr.ht/~gullik/ksrepo,xf86-input-wacom,
xf86-video-intel,symlink,https://git.sr.ht/~gullik/ksrepo,xf86-video-intel,
godot-git,git 1,https://git.sr.ht/~gullik/ksrepo,godot-git,
valgrind,3.16.1 1,https://git.sr.ht/~gullik/ksrepo,valgrind,
helm,0.9.0 1,https://git.sr.ht/~gullik/ksrepo,helm,
fzf,symlink,https://git.sr.ht/~gullik/ksrepo,fzf,
git,symlink,https://git.sr.ht/~gullik/ksrepo,git,
nodejs,15.2.1 1,https://github.com/42LoCo42/42loco42-kiss-repo,changes/nodejs,
ccache,4.0 1,https://github.com/42LoCo42/42loco42-kiss-repo,changes/ccache,
libXft,bgra-git 1,https://github.com/42LoCo42/42loco42-kiss-repo,changes/libXft,
cli-visualizer,1.8 1,https://github.com/42LoCo42/42loco42-kiss-repo,changes/cli-visualizer,
nss,3.59 1,https://github.com/42LoCo42/42loco42-kiss-repo,changes/nss,
fmui,git 1,https://github.com/42LoCo42/42loco42-kiss-repo,changes/fmui,
openjdk-jre-11-bin,11.0.6+10 2,https://github.com/42LoCo42/42loco42-kiss-repo,changes/openjdk-jre-11-bin,
fontforge,20200314 1,https://github.com/42LoCo42/42loco42-kiss-repo,changes/fontforge,
kiss-chdefault,1 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/kiss-chdefault,
xf86-video-qxl,0.1.5 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/xf86-video-qxl,
asp,git 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/asp,
fet.sh,git 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/fet.sh,
no-usr-local, 1 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/no-usr-local,
kiss-aa,1 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/kiss-aa,
spice,0.14.3 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/spice,
kiss-rmdeps,1 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/kiss-rmdeps,
pragmata-pro-ttf,1 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/pragmata-pro-ttf,
siji,git 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/siji,
kiss-chtransfer,1 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/kiss-chtransfer,
spice-protocol,git 1,https://github.com/42LoCo42/42loco42-kiss-repo,default/spice-protocol,
archlinux-keyring,20210110 2,https://github.com/42LoCo42/42loco42-kiss-repo,archlinux/archlinux-keyring,
pacman,5.2.2 2,https://github.com/42LoCo42/42loco42-kiss-repo,archlinux/pacman,
gpgme,dynamic 1,https://github.com/42LoCo42/42loco42-kiss-repo,archlinux/gpgme,
getpackage,1 1,https://github.com/42LoCo42/42loco42-kiss-repo,archlinux/getpackage,
archlinux-mirrorlist,dynamic 1,https://github.com/42LoCo42/42loco42-kiss-repo,archlinux/archlinux-mirrorlist,
artix-keyring,20201028 5,https://github.com/42LoCo42/42loco42-kiss-repo,archlinux/artix-keyring,
artix-mirrorlist,dynamic 1,https://github.com/42LoCo42/42loco42-kiss-repo,archlinux/artix-mirrorlist,
openssl,dynamic 1,https://github.com/42LoCo42/42loco42-kiss-repo,archlinux/openssl,
lmdb, 0.9.29 1,https://github.com/GenesisTMS/kiss-repo,main/lmdb,
translate-shell, 0.9.6.12 1,https://github.com/GenesisTMS/kiss-repo,main/translate-shell,
1pass,git 1,https://github.com/GenesisTMS/kiss-repo,main/1pass,
1password-cli,1.8.0 1,https://github.com/GenesisTMS/kiss-repo,main/1password-cli,
vifm,git 1,https://github.com/GenesisTMS/kiss-repo,main/vifm,
neomutt,git 1,https://github.com/GenesisTMS/kiss-repo,main/neomutt,
neovim,git 1,https://github.com/GenesisTMS/kiss-repo,main/neovim,
cppcheck,2.4.1 1,https://github.com/GullikX/ksrepo,cppcheck,
ttf-droid-sans,20121017 1,https://github.com/GullikX/ksrepo,ttf-droid-sans,
browser,29.2.1 1,https://github.com/GullikX/ksrepo,browser,
fluidsynth,2.2.2 1,https://github.com/GullikX/ksrepo,fluidsynth,
ttf-fantasque-sans-mono,1.8.0 1,https://github.com/GullikX/ksrepo,ttf-fantasque-sans-mono,
glew,2.2.0 1,https://github.com/GullikX/ksrepo,glew,
gwm,0.1.2 1,https://github.com/GullikX/ksrepo,gwm,
git-crypt,0.6.0 1,https://github.com/GullikX/ksrepo,git-crypt,
glfw,3.3.4 1,https://github.com/GullikX/ksrepo,glfw,
xf86-input-wacom,0.40.0 1,https://github.com/GullikX/ksrepo,xf86-input-wacom,
xf86-video-intel,symlink,https://github.com/GullikX/ksrepo,xf86-video-intel,
godot-git,git 1,https://github.com/GullikX/ksrepo,godot-git,
valgrind,3.16.1 1,https://github.com/GullikX/ksrepo,valgrind,
helm,0.9.0 1,https://github.com/GullikX/ksrepo,helm,
fzf,symlink,https://github.com/GullikX/ksrepo,fzf,
git,symlink,https://github.com/GullikX/ksrepo,git,
advancecomp,2.1 1,https://github.com/Himmalerin/kiss-compression,kiss-compression/advancecomp,
lcms2,2.11 1,https://github.com/Himmalerin/kiss-compression,kiss-compression/lcms2,
