glfw,3.3.4 1,https://github.com/GullikX/ksrepo,glfw,master," "
xf86-input-wacom,0.40.0 1,https://github.com/GullikX/ksrepo,xf86-input-wacom,master," "
xf86-video-intel,symlink,https://github.com/GullikX/ksrepo,xf86-video-intel,master," "
godot-git,git 1,https://github.com/GullikX/ksrepo,godot-git,master," "
valgrind,3.16.1 1,https://github.com/GullikX/ksrepo,valgrind,master," "
helm,0.9.0 1,https://github.com/GullikX/ksrepo,helm,master," "
fzf,symlink,https://github.com/GullikX/ksrepo,fzf,master," "
git,symlink,https://github.com/GullikX/ksrepo,git,master," "
adwaita-icon-theme,3.36.1 1,https://github.com/Himmalerin/kiss-himmalerin,extra/adwaita-icon-theme,master," "
gptfdisk,1.0.5 1,https://github.com/Himmalerin/kiss-himmalerin,extra/gptfdisk,master," "
mtr,0.93 1,https://github.com/Himmalerin/kiss-himmalerin,extra/mtr,master," "
linux-himmalerin,5.9.11 1,https://github.com/Himmalerin/kiss-himmalerin,extra/linux-himmalerin,master," "
wf-recorder,0.2.1 1,https://github.com/Himmalerin/kiss-himmalerin,extra/wf-recorder,master," "
linux-firmware-himmalerin,20200619 1,https://github.com/Himmalerin/kiss-himmalerin,extra/linux-firmware-himmalerin,master," "
meta-himmalerin,2020.07.08 2,https://github.com/Himmalerin/kiss-himmalerin,extra/meta-himmalerin,master," "
ntpd-service,2020.06.29 1,https://github.com/Himmalerin/kiss-himmalerin,extra/ntpd-service,master," "
youtube-dl,2020.05.29 1,https://github.com/Himmalerin/kiss-himmalerin,modified/youtube-dl,master," "
firefox,87.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/firefox,master," "
mesa,21.0.2 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/mesa,master," "
swayidle,1.6 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/swayidle,master," "
wlvncc,git 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wlvncc,master," "
xorg-server,1.20.10 2,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/xorg-server,master," "
