libva,2.12.0 1,https://github.com/kisslinux/repo,extra/libva,master,
efivar,cff88dd96b9d43e2c5875a24ba6180b196890ded 1,https://github.com/kisslinux/repo,extra/efivar,master,
openresolv,3.12.0 1,https://github.com/kisslinux/repo,extra/openresolv,master,
tiff,4.3.0 1,https://github.com/kisslinux/repo,extra/tiff,master,
libwebp,1.2.0 1,https://github.com/kisslinux/repo,extra/libwebp,master,
opendoas,6.8.1 1,https://github.com/kisslinux/repo,extra/opendoas,master,
cmake,3.21.1 1,https://github.com/kisslinux/repo,extra/cmake,master,
efibootmgr,4069341e184471dccf407ca8410daa4c4fd634f5 1,https://github.com/kisslinux/repo,extra/efibootmgr,master,
mandoc,1.14.5 4,https://github.com/kisslinux/repo,extra/mandoc,master,
libass,0.15.1 1,https://github.com/kisslinux/repo,extra/libass,master,
libjpeg-turbo,2.1.0 1,https://github.com/kisslinux/repo,extra/libjpeg-turbo,master,
lame,3.100 2,https://github.com/kisslinux/repo,extra/lame,master,
pango,1.48.7 1,https://github.com/kisslinux/repo,extra/pango,master,
git,2.32.0 1,https://github.com/kisslinux/repo,core/git,master,
pigz,2.6 2,https://github.com/kisslinux/repo,core/pigz,master,
zlib,1.2.11 3,https://github.com/kisslinux/repo,core/zlib,master,
make,4.3 1,https://github.com/kisslinux/repo,core/make,master,
kiss,5.5.25 1,https://github.com/kisslinux/repo,core/kiss,master,
curl,7.78.0 1,https://github.com/kisslinux/repo,core/curl,master,
binutils,2.37 2,https://github.com/kisslinux/repo,core/binutils,master,
flex,2.6.4 4,https://github.com/kisslinux/repo,core/flex,master,
openssl,1.1.1k 1,https://github.com/kisslinux/repo,core/openssl,master,
busybox,1.33.1 5,https://github.com/kisslinux/repo,core/busybox,master,
m4,1.4.19 1,https://github.com/kisslinux/repo,core/m4,master,
musl,1.2.2 1,https://github.com/kisslinux/repo,core/musl,master,
baseinit,1.0.3 1,https://github.com/kisslinux/repo,core/baseinit,master,
baselayout,1 8,https://github.com/kisslinux/repo,core/baselayout,master,
bison,3.7.6 1,https://github.com/kisslinux/repo,core/bison,master,
xz,5.2.5 1,https://github.com/kisslinux/repo,core/xz,master,
grub,2.06 1,https://github.com/kisslinux/repo,core/grub,master,
linux-headers,5.10.54 1,https://github.com/kisslinux/repo,core/linux-headers,master,
gcc,11.2.0 1,https://github.com/kisslinux/repo,core/gcc,master,
wlsunset,0.2.0 1,https://github.com/kisslinux/repo,wayland/wlsunset,master,
pixman,0.40.0 1,https://github.com/kisslinux/repo,wayland/pixman,master,
slurp,1.3.2 1,https://github.com/kisslinux/repo,wayland/slurp,master,
